,index,n_N,perc_B,k,single,wL,lazy,A4,init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
147,147,20,20.0%,1,False,0,False,False,True,60.21025559625613,3602.01010799408,33277.0,2246.5613383257155,3.0062479972839355,256.143739938736,2185.118841623137,1183497663.297262
148,148,20,50.0%,1,False,0,False,False,False,0.007278639156914849,906.3977289199828,204295.0,883.6959709730318,,,,
149,149,20,50.0%,1,False,0,False,False,True,61.45748984856956,3600.0949420928955,2185.0,8734.555676169579,14.730570793151855,2960.560096979141,4030.897055134439,8734.555679215588
150,150,20,100%,1,False,0,False,True,False,0.006790920456814952,385.6685400009155,135480.0,926.3357397338608,,,,
151,151,20,100%,1,False,0,False,True,True,38.48031735039485,3600.4491260051727,4135.0,5796.356464134338,2.7128000259399414,425.14737701416016,5044.785272701094,1537397064.815904
152,152,20,10.0%,1,False,50,False,False,False,0.0053040467091869095,94.15096282958984,3233.0,1357.8588205389133,,,,
153,153,20,10.0%,1,False,50,False,False,True,16.51441859189965,3600.2056760787964,6479.0,834.4048863885138,600.1116728782654,1.7965829372406006,836.4636687353677,859.1030652218249
154,154,20,20.0%,1,False,50,False,False,False,5.281423362336583e-05,50.84688091278076,25273.0,1549.7064850968586,,,,
155,155,20,20.0%,1,False,50,False,False,True,37.58225787847995,3600.304235935211,9180.0,1055.2799465519895,600.0388989448547,187.94087886810303,994.8604378187508,1718547721.8177462
156,156,20,50.0%,1,False,50,False,False,False,0.0025795959330563224,2216.225486040116,127279.0,1752.3394500322784,,,,
157,157,20,50.0%,1,False,50,False,False,True,1.34313933725235,3600.5545840263367,195681.0,2191.668082134512,43.33479499816895,1.632152080535889,2191.8774624698644,2191.8774624698644
158,158,20,100%,1,False,50,False,True,False,0.0001233208546425638,95.28231906890868,2458.0,1987.634138600096,,,,
159,159,20,100%,1,False,50,False,True,True,16.585047870295618,3600.663470029831,1164.0,3850.8381276129967,600.0463650226593,218.93634486198425,3550.4939881067166,99677966.00916162
160,160,20,10.0%,10%,False,0,False,False,False,0.0006949512276044191,72.56856203079224,17771.0,539.464142014777,,,,
161,161,20,10.0%,10%,False,0,False,False,True,8.24024726692363,3600.622978925705,100026.0,427.78774493775074,25.336221933364868,1.640298843383789,427.78774493775086,427.78774493775074
162,162,20,20.0%,10%,False,0,False,False,False,0.00878828237305381,251.55413913726807,41612.0,558.5935022883812,,,,
163,163,20,20.0%,10%,False,0,False,False,True,4.29142609864563,3602.057685136795,41591.0,554.5024770236499,130.78814101219177,6.272568941116333,590.4012221036271,793.0980967767641
164,164,20,50.0%,10%,False,0,False,False,False,0.009743352645888988,592.3341398239136,106282.0,569.2528223659356,,,,
165,165,20,50.0%,10%,False,0,False,False,True,1.08853184684362,3600.532680034637,217634.0,1719.9458004258202,11.416350841522217,1.6063292026519775,1727.8388170375972,1727.8388170375972
166,166,20,100%,10%,False,0,False,True,False,0.0010303375573496969,238.84730315208435,2192.0,622.4666177269307,,,,
167,167,20,100%,10%,False,0,False,True,True,0.87023292795094,3600.306862831116,28547.0,3070.856852482817,102.31973814964294,169.4112799167633,3103.62339523441,3400.02547768673
168,168,20,10.0%,10%,False,50,False,False,False,0.009496881397362086,58.81998610496521,19166.0,1039.4659525867655,,,,
169,169,20,10.0%,10%,False,50,False,False,True,2.10419417429285,3601.980265140533,1.0,2116.2733329411817,46.67186093330383,22.407124996185303,2116.2733329411817,2116.2733329411817
170,170,20,20.0%,10%,False,50,False,False,False,4.727626659308324e-05,255.38726997375488,57214.0,1188.784947517675,,,,
171,171,20,20.0%,10%,False,50,False,False,True,45.879853044546934,3605.518193006516,1.0,2263.269357047468,387.81449484825134,1346.928472995758,2185.118841623137,2263.269404659083
172,172,20,50.0%,10%,False,50,False,False,False,7.891510589049891e-05,354.3587009906769,28756.0,1355.6666267599985,,,,
173,173,20,50.0%,10%,False,50,False,False,True,5.7720169310235,3600.531038045883,2008.0,3881.1807330122456,46.30769395828247,198.8599500656128,4030.897055134439,3892.1375459697615
174,174,20,100%,10%,False,50,False,True,False,0.0014688197275930324,172.01651215553284,1362.0,1629.5816699510633,,,,
175,175,20,100%,10%,False,50,False,True,True,20.51878834692589,3602.6545610427856,1.0,5035.340654102471,383.6644449234009,1468.7871601581571,5044.785272701094,5035.3406541025
176,176,20,10.0%,25%,False,0,False,False,False,0.009756171130185688,146.9779508113861,61373.0,222.4418361244365,,,,
177,177,20,10.0%,25%,False,0,False,False,True,4.45436931225603,3600.9285368919373,1.0,834.7072249034147,46.91381812095642,22.332002878189087,836.4636687353677,836.4636687353677
178,178,20,20.0%,25%,False,0,False,False,False,0.0001397294747606253,354.43791484832764,64748.0,226.9385198040016,,,,
179,179,20,20.0%,25%,False,0,False,False,True,46.77942210965097,3615.034227848053,1.0,954.6241321538178,385.8812041282654,1869.441900968552,970.2633255055708,988.2838800305864
180,180,20,50.0%,25%,False,0,False,False,False,0.009932974969890764,713.2759530544281,180561.0,237.19105556931976,,,,
181,181,20,50.0%,25%,False,0,False,False,True,1.13144556224623,3603.216362953186,132554.0,2191.877462469864,44.44688105583191,22.777263879776,2191.877462469864,2191.877462469864
182,182,20,100%,25%,False,0,False,True,False,0.0,143.8593988418579,19348.0,405.2196652085498,,,,
183,183,20,100%,25%,False,0,False,True,True,13.71228964626357,3617.401721000672,1.0,3500.423525476637,394.404021024704,1719.9674191474917,3523.471405938365,3575.9743200374915
184,184,20,10.0%,25%,False,50,False,False,False,0.0038996064583023135,198.93769907951355,100240.0,722.4549647813135,,,,
185,185,20,10.0%,25%,False,50,False,False,True,5.66624156948987,3600.537686109543,2119.0,427.19939639792017,44.65547013282776,21.71235990524292,427.78774493775074,427.78774493775074
186,186,20,20.0%,25%,False,50,False,False,False,0.000888214869009449,183.20881700515747,49336.0,742.845360886161,,,,
187,187,20,20.0%,25%,False,50,False,False,True,42.2600060466592,3618.815690040589,1.0,556.5457227887988,396.0877611637116,210.8789360523224,590.4012221036271,590.4012221036271
188,188,20,50.0%,25%,False,50,False,False,False,5.422363375330992e-05,932.4252591133118,112543.0,812.180880546975,,,,
