,instance,n_N,perc_B,k,single,wL,lazy,A4,init
452,0,70,50.0%,10%,False,0,False,False,False
453,0,70,50.0%,10%,False,0,False,False,True
454,0,70,100%,10%,False,0,False,True,False
455,0,70,100%,10%,False,0,False,True,True
456,0,70,10.0%,10%,False,50,False,False,False
457,0,70,10.0%,10%,False,50,False,False,True
458,0,70,20.0%,10%,False,50,False,False,False
459,0,70,20.0%,10%,False,50,False,False,True
460,0,70,50.0%,10%,False,50,False,False,False
461,0,70,50.0%,10%,False,50,False,False,True
462,0,70,100%,10%,False,50,False,True,False
463,0,70,100%,10%,False,50,False,True,True
464,0,70,10.0%,25%,False,0,False,False,False
465,0,70,10.0%,25%,False,0,False,False,True
466,0,70,20.0%,25%,False,0,False,False,False
467,0,70,20.0%,25%,False,0,False,False,True
468,0,70,50.0%,25%,False,0,False,False,False
469,0,70,50.0%,25%,False,0,False,False,True
470,0,70,100%,25%,False,0,False,True,False
471,0,70,100%,25%,False,0,False,True,True
472,0,70,10.0%,25%,False,50,False,False,False
473,0,70,10.0%,25%,False,50,False,False,True
474,0,70,20.0%,25%,False,50,False,False,False
475,0,70,20.0%,25%,False,50,False,False,True
476,0,70,50.0%,25%,False,50,False,False,False
477,0,70,50.0%,25%,False,50,False,False,True
478,0,70,100%,25%,False,50,False,True,False
479,0,70,100%,25%,False,50,False,True,True
